,labels,source,path
0,male_sad,SAVEE,../../../emotion_data/ALL/JK_sa01.wav
1,male_sad,SAVEE,../../../emotion_data/ALL/JK_sa15.wav
2,male_neutral,SAVEE,../../../emotion_data/ALL/DC_n13.wav
3,male_surprise,SAVEE,../../../emotion_data/ALL/DC_su09.wav
4,male_neutral,SAVEE,../../../emotion_data/ALL/DC_n07.wav
5,male_neutral,SAVEE,../../../emotion_data/ALL/JK_n20.wav
6,male_neutral,SAVEE,../../../emotion_data/ALL/JK_n08.wav
7,male_sad,SAVEE,../../../emotion_data/ALL/JE_sa08.wav
8,male_fear,SAVEE,../../../emotion_data/ALL/JK_f15.wav
9,male_fear,SAVEE,../../../emotion_data/ALL/JK_f01.wav
10,male_sad,SAVEE,../../../emotion_data/ALL/KL_sa13.wav
11,male_sad,SAVEE,../../../emotion_data/ALL/KL_sa07.wav
12,male_disgust,SAVEE,../../../emotion_data/ALL/JK_d03.wav
13,male_happy,SAVEE,../../../emotion_data/ALL/DC_h01.wav
14,male_happy,SAVEE,../../../emotion_data/ALL/DC_h15.wav
15,male_happy,SAVEE,../../../emotion_data/ALL/DC_h14.wav
16,male_disgust,SAVEE,../../../emotion_data/ALL/JK_d02.wav
17,male_sad,SAVEE,../../../emotion_data/ALL/KL_sa06.wav
18,male_sad,SAVEE,../../../emotion_data/ALL/KL_sa12.wav
19,male_fear,SAVEE,../../../emotion_data/ALL/JK_f14.wav
20,male_sad,SAVEE,../../../emotion_data/ALL/JE_sa09.wav
21,male_neutral,SAVEE,../../../emotion_data/ALL/JK_n09.wav
22,male_neutral,SAVEE,../../../emotion_data/ALL/JK_n21.wav
23,male_neutral,SAVEE,../../../emotion_data/ALL/DC_n06.wav
24,male_neutral,SAVEE,../../../emotion_data/ALL/DC_n12.wav
25,male_surprise,SAVEE,../../../emotion_data/ALL/DC_su08.wav
26,male_sad,SAVEE,../../../emotion_data/ALL/JK_sa14.wav
27,male_sad,SAVEE,../../../emotion_data/ALL/JK_sa02.wav
28,male_neutral,SAVEE,../../../emotion_data/ALL/DC_n04.wav
29,male_neutral,SAVEE,../../../emotion_data/ALL/DC_n10.wav
30,male_neutral,SAVEE,../../../emotion_data/ALL/JK_n23.wav
31,male_fear,SAVEE,../../../emotion_data/ALL/JK_f02.wav
32,male_sad,SAVEE,../../../emotion_data/ALL/KL_sa04.wav
33,male_sad,SAVEE,../../../emotion_data/ALL/KL_sa10.wav
34,male_disgust,SAVEE,../../../emotion_data/ALL/JK_d14.wav
35,male_happy,SAVEE,../../../emotion_data/ALL/DC_h02.wav
36,male_happy,SAVEE,../../../emotion_data/ALL/DC_h03.wav
37,male_disgust,SAVEE,../../../emotion_data/ALL/JK_d15.wav
38,male_sad,SAVEE,../../../emotion_data/ALL/KL_sa11.wav
39,male_disgust,SAVEE,../../../emotion_data/ALL/JK_d01.wav
40,male_sad,SAVEE,../../../emotion_data/ALL/KL_sa05.wav
41,male_fear,SAVEE,../../../emotion_data/ALL/JK_f03.wav
42,male_neutral,SAVEE,../../../emotion_data/ALL/JK_n22.wav
43,male_neutral,SAVEE,../../../emotion_data/ALL/DC_n11.wav
44,male_neutral,SAVEE,../../../emotion_data/ALL/DC_n05.wav
45,male_sad,SAVEE,../../../emotion_data/ALL/JK_sa03.wav
46,male_sad,SAVEE,../../../emotion_data/ALL/JK_sa13.wav
47,male_sad,SAVEE,../../../emotion_data/ALL/JK_sa07.wav
48,male_neutral,SAVEE,../../../emotion_data/ALL/DC_n29.wav
49,male_neutral,SAVEE,../../../emotion_data/ALL/DC_n01.wav
50,male_neutral,SAVEE,../../../emotion_data/ALL/DC_n15.wav
51,male_neutral,SAVEE,../../../emotion_data/ALL/JK_n26.wav
52,male_fear,SAVEE,../../../emotion_data/ALL/JK_f07.wav
53,male_fear,SAVEE,../../../emotion_data/ALL/JK_f13.wav
54,male_happy,SAVEE,../../../emotion_data/ALL/JK_h08.wav
55,male_sad,SAVEE,../../../emotion_data/ALL/KL_sa01.wav
56,male_disgust,SAVEE,../../../emotion_data/ALL/JK_d05.wav
57,male_sad,SAVEE,../../../emotion_data/ALL/KL_sa15.wav
58,male_disgust,SAVEE,../../../emotion_data/ALL/JK_d11.wav
59,male_fear,SAVEE,../../../emotion_data/ALL/DC_f08.wav
60,male_happy,SAVEE,../../../emotion_data/ALL/DC_h13.wav
61,male_angry,SAVEE,../../../emotion_data/ALL/KL_a09.wav
62,male_happy,SAVEE,../../../emotion_data/ALL/DC_h07.wav
63,male_happy,SAVEE,../../../emotion_data/ALL/DC_h06.wav
64,male_happy,SAVEE,../../../emotion_data/ALL/DC_h12.wav
65,male_angry,SAVEE,../../../emotion_data/ALL/KL_a08.wav
66,male_fear,SAVEE,../../../emotion_data/ALL/DC_f09.wav
67,male_disgust,SAVEE,../../../emotion_data/ALL/JK_d10.wav
68,male_sad,SAVEE,../../../emotion_data/ALL/KL_sa14.wav
69,male_disgust,SAVEE,../../../emotion_data/ALL/JK_d04.wav
70,male_happy,SAVEE,../../../emotion_data/ALL/JK_h09.wav
71,male_fear,SAVEE,../../../emotion_data/ALL/JK_f12.wav
72,male_fear,SAVEE,../../../emotion_data/ALL/JK_f06.wav
73,male_neutral,SAVEE,../../../emotion_data/ALL/JK_n27.wav
74,male_neutral,SAVEE,../../../emotion_data/ALL/DC_n14.wav
75,male_neutral,SAVEE,../../../emotion_data/ALL/DC_n28.wav
76,male_sad,SAVEE,../../../emotion_data/ALL/JK_sa06.wav
77,male_sad,SAVEE,../../../emotion_data/ALL/JK_sa12.wav
78,male_sad,SAVEE,../../../emotion_data/ALL/JK_sa04.wav
79,male_sad,SAVEE,../../../emotion_data/ALL/JK_sa10.wav
80,male_neutral,SAVEE,../../../emotion_data/ALL/DC_n16.wav
81,male_neutral,SAVEE,../../../emotion_data/ALL/DC_n02.wav
82,male_neutral,SAVEE,../../../emotion_data/ALL/JK_n19.wav
83,male_neutral,SAVEE,../../../emotion_data/ALL/JK_n25.wav
84,male_angry,SAVEE,../../../emotion_data/ALL/JE_a09.wav
85,male_fear,SAVEE,../../../emotion_data/ALL/JK_f10.wav
86,male_fear,SAVEE,../../../emotion_data/ALL/JK_f04.wav
87,male_disgust,SAVEE,../../../emotion_data/ALL/DC_d09.wav
88,male_disgust,SAVEE,../../../emotion_data/ALL/JK_d12.wav
89,male_sad,SAVEE,../../../emotion_data/ALL/KL_sa02.wav
90,male_disgust,SAVEE,../../../emotion_data/ALL/JK_d06.wav
91,male_happy,SAVEE,../../../emotion_data/ALL/DC_h04.wav
92,male_happy,SAVEE,../../../emotion_data/ALL/DC_h10.wav
93,male_happy,SAVEE,../../../emotion_data/ALL/DC_h11.wav
94,male_happy,SAVEE,../../../emotion_data/ALL/DC_h05.wav
95,male_disgust,SAVEE,../../../emotion_data/ALL/JK_d07.wav
96,male_sad,SAVEE,../../../emotion_data/ALL/KL_sa03.wav
97,male_disgust,SAVEE,../../../emotion_data/ALL/JK_d13.wav
98,male_disgust,SAVEE,../../../emotion_data/ALL/DC_d08.wav
99,male_fear,SAVEE,../../../emotion_data/ALL/JK_f05.wav
100,male_fear,SAVEE,../../../emotion_data/ALL/JK_f11.wav
101,male_neutral,SAVEE,../../../emotion_data/ALL/JK_n30.wav
102,male_neutral,SAVEE,../../../emotion_data/ALL/JK_n24.wav
103,male_angry,SAVEE,../../../emotion_data/ALL/JE_a08.wav
104,male_neutral,SAVEE,../../../emotion_data/ALL/JK_n18.wav
105,male_neutral,SAVEE,../../../emotion_data/ALL/DC_n03.wav
106,male_neutral,SAVEE,../../../emotion_data/ALL/DC_n17.wav
107,male_sad,SAVEE,../../../emotion_data/ALL/JK_sa11.wav
108,male_sad,SAVEE,../../../emotion_data/ALL/JK_sa05.wav
109,male_neutral,SAVEE,../../../emotion_data/ALL/KL_n17.wav
110,male_neutral,SAVEE,../../../emotion_data/ALL/KL_n03.wav
111,male_surprise,SAVEE,../../../emotion_data/ALL/JE_su04.wav
112,male_surprise,SAVEE,../../../emotion_data/ALL/JE_su10.wav
113,male_happy,SAVEE,../../../emotion_data/ALL/JE_h12.wav
114,male_happy,SAVEE,../../../emotion_data/ALL/JE_h06.wav
115,male_fear,SAVEE,../../../emotion_data/ALL/JE_f09.wav
116,male_neutral,SAVEE,../../../emotion_data/ALL/JE_n14.wav
117,male_angry,SAVEE,../../../emotion_data/ALL/JK_a10.wav
118,male_neutral,SAVEE,../../../emotion_data/ALL/JE_n28.wav
119,male_angry,SAVEE,../../../emotion_data/ALL/JK_a04.wav
120,male_disgust,SAVEE,../../../emotion_data/ALL/KL_d08.wav
121,male_sad,SAVEE,../../../emotion_data/ALL/DC_sa11.wav
122,male_sad,SAVEE,../../../emotion_data/ALL/DC_sa05.wav
123,male_happy,SAVEE,../../../emotion_data/ALL/KL_h05.wav
124,male_happy,SAVEE,../../../emotion_data/ALL/KL_h11.wav
125,male_happy,SAVEE,../../../emotion_data/ALL/KL_h10.wav
126,male_happy,SAVEE,../../../emotion_data/ALL/KL_h04.wav
127,male_sad,SAVEE,../../../emotion_data/ALL/DC_sa04.wav
128,male_sad,SAVEE,../../../emotion_data/ALL/DC_sa10.wav
129,male_disgust,SAVEE,../../../emotion_data/ALL/KL_d09.wav
130,male_neutral,SAVEE,../../../emotion_data/ALL/JE_n29.wav
131,male_angry,SAVEE,../../../emotion_data/ALL/JK_a05.wav
132,male_angry,SAVEE,../../../emotion_data/ALL/JK_a11.wav
133,male_neutral,SAVEE,../../../emotion_data/ALL/JE_n15.wav
134,male_neutral,SAVEE,../../../emotion_data/ALL/JE_n01.wav
135,male_fear,SAVEE,../../../emotion_data/ALL/JE_f08.wav
136,male_happy,SAVEE,../../../emotion_data/ALL/JE_h07.wav
137,male_happy,SAVEE,../../../emotion_data/ALL/JE_h13.wav
138,male_surprise,SAVEE,../../../emotion_data/ALL/JE_su11.wav
139,male_surprise,SAVEE,../../../emotion_data/ALL/JE_su05.wav
140,male_neutral,SAVEE,../../../emotion_data/ALL/KL_n02.wav
141,male_neutral,SAVEE,../../../emotion_data/ALL/KL_n16.wav
142,male_neutral,SAVEE,../../../emotion_data/ALL/KL_n14.wav
143,male_surprise,SAVEE,../../../emotion_data/ALL/JE_su13.wav
144,male_surprise,SAVEE,../../../emotion_data/ALL/JE_su07.wav
145,male_neutral,SAVEE,../../../emotion_data/ALL/KL_n28.wav
146,male_disgust,SAVEE,../../../emotion_data/ALL/JE_d08.wav
147,male_happy,SAVEE,../../../emotion_data/ALL/JE_h05.wav
148,male_surprise,SAVEE,../../../emotion_data/ALL/KL_su08.wav
